T001;426736.597;1300526.348;19.532
T002;426764.138;1300508.703;19.524
TD;426750.203;1300560.156;21.203
TR;426839.758;1300421.922
TH01;426656.982;1300434.494;15.814
001;426721.373;1300500.088;21.523
002;426717.295;1300522.772;21.680
003;426716.270;1300523.240;21.644
004;426721.209;1300530.729;21.708
005;426723.686;1300534.409;21.232
006;426732.546;1300548.333;22.068
007;426734.963;1300551.929;22.699
008;426741.960;1300562.788;23.725
009;426745.024;1300567.226;24.525
010;426703.929;1300502.052;21.970
011;426725.084;1300516.246;18.847
012;426725.691;1300515.014;18.621
013;426725.644;1300505.643;18.630
014;426719.228;1300516.054;18.822
015;426726.189;1300527.197;19.431
016;426730.457;1300524.516;19.324
017;426732.716;1300525.077;19.232
018;426738.871;1300535.825;19.932
019;426739.851;1300535.038;19.545
020;426734.701;1300538.982;20.001
021;426740.726;1300527.425;19.698
022;426740.848;1300527.611;19.686
023;426739.178;1300526.148;19.769
024;426739.579;1300525.705;19.656
025;426737.362;1300522.526;19.300
026;426732.974;1300516.257;19.096
027;426739.365;1300519.453;19.318
028;426746.455;1300508.947;18.958
029;426746.848;1300506.896;19.027
030;426750.974;1300515.460;19.353
031;426745.174;1300524.174;19.667
DOOB;431017.821;1298383.514
DOOBI;429389.392;1298624.293

033;426760.179;1300550.041;21.241
034;426757.625;1300550.044;21.219
035;426751.468;1300542.772;20.534
036;426745.016;1300567.151;21.487
037;426758.951;1300587.801;22.654
T003;426772.841;1300494.422;18.996
038;426765.975;1300508.942;19.454
039;426762.809;1300511.475;19.605
040;426760.874;1300508.634;20.186
041;426758.576;1300511.245;19.440
042;426756.351;1300502.081;19.938
043;426759.420;1300498.424;18.840
044;426764.066;1300495.159;19.059
045;426764.137;1300498.768;18.992
046;426770.797;1300500.047;19.252
047;426771.948;1300504.665;19.723
048;426783.811;1300494.959;19.947
049;426771.166;1300506.478;21.367
050;426765.525;1300510.966;21.008
051;426762.711;1300513.018;20.769
052;426762.710;1300513.021;21.047
T004;426785.985;1300480.943;18.418
060;426772.867;1300491.369;18.695
061;426771.996;1300489.772;18.806
062;426778.576;1300497.422;19.472
063;426777.579;1300498.536;19.393
064;426777.738;1300499.004;19.499
065;426766.651;1300493.193;18.942
066;426776.390;1300487.902;18.778
067;426782.298;1300493.642;19.028
068;426782.184;1300494.500;19.133
069;426783.334;1300490.617;18.936
070;426784.107;1300487.829;18.782
071;426785.365;1300486.633;18.616
072;426786.878;1300488.615;18.633
073;426788.249;1300489.730;18.532
074;426794.702;1300486.104;18.115
075;426797.064;1300484.605;17.820
076;426793.638;1300483.520;17.550
077;426797.382;1300482.351;17.796
078;426798.883;1300483.196;17.218
079;426800.039;1300482.783;17.678
080;426806.651;1300478.767;17.587
081;426807.013;1300476.316;17.350
082;426803.788;1300469.333;17.762
083;426798.094;1300477.872;17.695
084;426797.350;1300478.475;16.751
085;426796.262;1300479.331;17.509
086;426794.330;1300478.491;16.830
087;426793.137;1300479.759;17.403
088;426792.045;1300477.191;17.722
089;426790.571;1300478.523;18.031
090;426790.431;1300477.245;18.103
091;426787.513;1300478.706;18.340
092;426783.052;1300481.922;18.624
093;426782.711;1300480.955;20.262
094;426782.276;1300481.659;20.554
095;426788.230;1300475.332;20.891
096;426789.051;1300476.513;20.209
097;426788.764;1300476.501;20.110
098;426787.753;1300477.199;20.358
099;426786.861;1300476.002;20.051
100;426796.051;1300488.774;19.381
PP1816;426618.735;1300451.258;16.220
101;426664.559;1300422.217;15.471
102;426664.992;1300410.368;15.116
103;426657.258;1300416.545;15.169
104;426658.098;1300415.126;15.254
105;426656.797;1300438.588;15.851
106;426639.176;1300454.195;16.380
107;426670.689;1300457.123;16.290
108;426675.571;1300437.481;16.176
